Scenario,Prediction,Confidence,Ground Truth,Status,BP,BP_col,BP_selected_prob,PCWP,PCWP_col,PCWP_selected_prob,HYPOVOLEMIA,HYPOVOLEMIA_col,HYPOVOLEMIA_selected_prob,STROKEVOLUME,STROKEVOLUME_col,STROKEVOLUME_selected_prob,CO,CO_col,CO_selected_prob,LVEDVOLUME,LVEDVOLUME_col,LVEDVOLUME_selected_prob,CVP,CVP_col,CVP_selected_prob
32,No_Hypovolemia,0.9877028382124796,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
33,No_Hypovolemia,0.9867291281141479,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
34,No_Hypovolemia,0.9711436485816641,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
35,No_Hypovolemia,0.9431812632077696,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
36,No_Hypovolemia,0.9942771429039222,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
37,No_Hypovolemia,0.9896982262963222,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
38,No_Hypovolemia,0.9935197224565407,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
39,No_Hypovolemia,0.9893552437616581,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
40,No_Hypovolemia,0.9841730129301186,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
41,No_Hypovolemia,0.6359984207620504,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
42,No_Hypovolemia,0.9897869856373727,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
43,No_Hypovolemia,0.9940874305560076,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
44,No_Hypovolemia,0.9845066226267134,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
45,No_Hypovolemia,0.5239177611795287,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
46,No_Hypovolemia,0.9826283844361068,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
47,Hypovolemia,0.6994874828026595,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
48,No_Hypovolemia,0.989136193786138,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
49,No_Hypovolemia,0.9844746256353112,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
50,No_Hypovolemia,0.9940830379375232,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
51,No_Hypovolemia,0.9942887400531755,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
52,No_Hypovolemia,0.8857103612019728,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,HIGH,1,0.01
53,No_Hypovolemia,0.9834437150824722,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
54,No_Hypovolemia,0.9850168169189671,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
55,No_Hypovolemia,0.9711732658766203,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
56,No_Hypovolemia,0.9431407508181391,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
57,No_Hypovolemia,0.9900983574182975,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
58,No_Hypovolemia,0.9775899309419323,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
59,No_Hypovolemia,0.9832757497060951,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
60,No_Hypovolemia,0.9710026946726666,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
61,No_Hypovolemia,0.9842004153347093,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
62,No_Hypovolemia,0.960456544128556,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
63,No_Hypovolemia,0.9431814818598628,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
64,Hypovolemia,0.6432759614771258,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
65,Hypovolemia,0.6917737908416631,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
66,Hypovolemia,0.6916734183965689,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
67,No_Hypovolemia,0.9608353650736504,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
68,No_Hypovolemia,0.971137530973024,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
69,No_Hypovolemia,0.9926130785560674,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
70,No_Hypovolemia,0.9787338779200562,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
71,No_Hypovolemia,0.9777573784798871,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
72,No_Hypovolemia,0.9774826964721417,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
73,No_Hypovolemia,0.5232088190674764,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
74,No_Hypovolemia,0.9612289144633668,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
75,No_Hypovolemia,0.9429960599168238,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
76,No_Hypovolemia,0.9401583047548588,No_Hypovolemia,SUCCESS,LOW,7,0.05,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
77,Hypovolemia,0.6403891863038408,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
78,No_Hypovolemia,0.6455444983944822,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
79,No_Hypovolemia,0.9880087404319835,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
80,No_Hypovolemia,0.9607598957336115,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
81,No_Hypovolemia,0.9940615966769972,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
82,Hypovolemia,0.6433614654429265,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
83,Hypovolemia,0.5849662697153835,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
84,No_Hypovolemia,0.9515436452777262,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
85,No_Hypovolemia,0.9781009219302991,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
86,No_Hypovolemia,0.9870684580190862,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
87,No_Hypovolemia,0.9827605127631747,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
88,No_Hypovolemia,0.994074557525834,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
89,Hypovolemia,0.5852721777936069,Hypovolemia,FAILURE,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,NORMAL,2,0.29
90,No_Hypovolemia,0.9832357742737385,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
91,No_Hypovolemia,0.8830402659854821,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,HIGH,1,0.01
92,Hypovolemia,0.6938340446177035,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
93,No_Hypovolemia,0.9866254301813734,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
94,No_Hypovolemia,0.9833848523397751,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
95,No_Hypovolemia,0.9863363050300981,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
96,No_Hypovolemia,0.9886206544561418,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
97,No_Hypovolemia,0.9826468985368326,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
98,No_Hypovolemia,0.9832495161226212,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
99,No_Hypovolemia,0.9821433031729134,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
100,No_Hypovolemia,0.9842005317683491,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
101,No_Hypovolemia,0.9923227709414874,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
102,No_Hypovolemia,0.9866798261881387,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
103,No_Hypovolemia,0.9940874305560076,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
104,Hypovolemia,0.6948130302570916,Hypovolemia,SUCCESS,LOW,1,0.98,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
105,Hypovolemia,0.5885905396208975,Hypovolemia,FAILURE,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
106,Hypovolemia,0.6048707070285192,Hypovolemia,SUCCESS,NORMAL,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
107,No_Hypovolemia,0.9932720509874926,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
108,No_Hypovolemia,0.9932720509874926,No_Hypovolemia,SUCCESS,HIGH,7,0.75,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
109,No_Hypovolemia,0.9830814192295265,No_Hypovolemia,SUCCESS,HIGH,7,0.75,LOW,1,0.04,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,LOW,1,0.04
110,No_Hypovolemia,0.9867291281141479,No_Hypovolemia,SUCCESS,NORMAL,7,0.2,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
111,No_Hypovolemia,0.5061388000534195,Hypovolemia,FAILURE,HIGH,1,0.01,HIGH,2,0.95,Hypovolemia,0,0.08,LOW,1,0.5,LOW,6,0.8,HIGH,1,0.9,HIGH,2,0.7
112,No_Hypovolemia,0.9828307229783282,No_Hypovolemia,SUCCESS,LOW,7,0.05,NORMAL,1,0.95,No_Hypovolemia,0,0.92,NORMAL,3,0.9,HIGH,7,0.95,NORMAL,3,0.9,NORMAL,1,0.95
