Scenario,Prediction,Confidence,Ground Truth,Margin,Status,GPTN_1,GPTN_2,GPTN_3,GPTN_5,LPTN_1_i,LPTN_1_ii,LPTN_1_iii,LPTN_1_iv,LPTN_1_v,LPTN_1_vi,LPTN_1_viii,LPTN_1_ix,LPTN_1_x,Network_Manipulation,Network_Manipulation_col,Network_Manipulation_argmax_prob,Program_Anomaly,Program_Anomaly_col,Program_Anomaly_argmax_prob,Physical_Anomaly,Physical_Anomaly_col,Physical_Anomaly_argmax_prob,Deviation_in_Dispatch,Deviation_in_Dispatch_col,Deviation_in_Dispatch_argmax_prob,Deviation_in_Response,Deviation_in_Response_col,Deviation_in_Response_argmax_prob,Execution_Integrity,Execution_Integrity_col,Execution_Integrity_argmax_prob,Root_Causes,Root_Causes_col,Root_Causes_argmax_prob
43,Memory_Corruption,0.6447537750000001,Memory_Corruption,0.35363292500000004,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.8,Yes,24,0.5,Compromised,1,0.72,Memory_Corruption,4,0.9
85,Memory_Corruption,0.686702865,Memory_Corruption,0.436789955,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,13,0.8,No,8,0.7,Compromised,2,0.72,Memory_Corruption,4,0.9
40,Memory_Corruption,0.6117000825000001,Memory_Corruption,0.2881095275000001,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,1,0.6,No,0,0.95,Normal,3,0.55,System_Fault,6,0.8
30,Memory_Corruption,0.739934685,Memory_Corruption,0.59119727,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,0,0.8,No,0,0.95,Normal,3,0.55,Memory_Corruption,7,0.75
14,Memory_Corruption,0.5038752449999999,Memory_Corruption,0.13130094499999984,FAILURE,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,2,0.85,Yes,0,0.9,No,1,0.9,No,0,0.8,No,0,0.95,Normal,3,0.55,FDI,3,0.8
35,Memory_Corruption,0.773842005,Memory_Corruption,0.65202071,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,7,0.8,Yes,15,0.85,Compromised,0,0.82,Memory_Corruption,5,0.8
23,Memory_Corruption,0.615240495,Memory_Corruption,0.342843195,SUCCESS,Found,Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Yes,0,0.95,Yes,0,0.9,No,1,0.9,Yes,7,0.8,Yes,15,0.85,Compromised,0,0.82,Memory_Corruption,1,0.75
64,Memory_Corruption,0.666118011,Memory_Corruption,0.395983937,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,10,0.62,No,4,0.7,Compromised,2,0.72,Memory_Corruption,4,0.9
62,Memory_Corruption,0.687772605,Memory_Corruption,0.43891053500000005,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,2,0.6,Yes,26,0.7,Compromised,1,0.72,Memory_Corruption,4,0.9
37,Memory_Corruption,0.705759519,Memory_Corruption,0.474566573,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,3,0.62,Yes,7,0.7,Compromised,0,0.82,Memory_Corruption,4,0.9
82,Memory_Corruption,0.685938765,Memory_Corruption,0.43527525499999997,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,10,0.62,Yes,3,0.5,Compromised,0,0.82,Memory_Corruption,4,0.9
36,Memory_Corruption,0.76305609,Memory_Corruption,0.6326727799999999,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,12,0.62,Yes,24,0.5,Compromised,0,0.82,Memory_Corruption,5,0.8
83,Memory_Corruption,0.76305609,Memory_Corruption,0.6326727799999999,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,10,0.62,Yes,3,0.5,Compromised,0,0.82,Memory_Corruption,5,0.8
10,Memory_Corruption,0.728651955,Memory_Corruption,0.519946985,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,15,0.9,Yes,7,0.7,Compromised,0,0.82,Memory_Corruption,4,0.9
78,Memory_Corruption,0.687772605,Memory_Corruption,0.43891053500000005,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,1,0.6,Yes,14,0.7,Compromised,1,0.72,Memory_Corruption,4,0.9
6,Memory_Corruption,0.698087955,Memory_Corruption,0.459358985,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.8,Yes,31,0.9,Compromised,1,0.72,Memory_Corruption,4,0.9
15,Memory_Corruption,0.62546259,Memory_Corruption,0.36270399,SUCCESS,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Yes,0,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,Yes,31,0.9,Compromised,0,0.82,Memory_Corruption,1,0.75
66,Memory_Corruption,0.685938765,Memory_Corruption,0.43527525499999997,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,5,0.62,Yes,20,0.5,Compromised,0,0.82,Memory_Corruption,4,0.9
68,Memory_Corruption,0.685938765,Memory_Corruption,0.43527525499999997,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,9,0.62,Yes,12,0.5,Compromised,0,0.82,Memory_Corruption,4,0.9
65,Memory_Corruption,0.758526966,Memory_Corruption,0.624548372,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,10,0.62,No,4,0.7,Compromised,2,0.72,Memory_Corruption,5,0.8
2,Memory_Corruption,0.76347513,Memory_Corruption,0.63342446,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,1,0.6,Yes,7,0.7,Compromised,1,0.72,Memory_Corruption,5,0.8
18,Memory_Corruption,0.5328509699999999,Memory_Corruption,0.18697516999999986,FAILURE,Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Yes,1,0.85,Yes,0,0.9,No,1,0.9,No,0,0.8,No,1,0.7,Normal,3,0.55,FDI,3,0.8
28,Memory_Corruption,0.606914805,FDI,0.32928210499999994,FAILURE,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,1,0.85,No,1,0.9,No,1,0.9,No,0,0.8,No,0,0.95,Compromised,7,0.8,Memory_Corruption,1,0.75
72,Memory_Corruption,0.664365675,Memory_Corruption,0.392510225,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,2,0.6,Yes,6,0.5,Compromised,1,0.72,Memory_Corruption,4,0.9
74,Memory_Corruption,0.705759519,Memory_Corruption,0.474566573,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,10,0.62,Yes,11,0.7,Compromised,0,0.82,Memory_Corruption,4,0.9
59,Memory_Corruption,0.758526966,Memory_Corruption,0.624548372,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,9,0.62,No,2,0.7,Compromised,2,0.72,Memory_Corruption,5,0.8
34,Memory_Corruption,0.7536451499999999,Memory_Corruption,0.6157912999999998,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,0,0.8,Yes,3,0.5,Compromised,1,0.72,Memory_Corruption,5,0.8
46,Memory_Corruption,0.746092245,Memory_Corruption,0.60224279,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,1,0.6,No,0,0.95,Normal,3,0.55,Memory_Corruption,7,0.75
11,Memory_Corruption,0.47436781499999997,Memory_Corruption,0.06913771499999993,FAILURE,Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,0,0.95,Yes,0,0.9,No,1,0.9,No,0,0.8,No,0,0.95,Normal,3,0.55,FDI,3,0.8
52,Memory_Corruption,0.713395425,Memory_Corruption,0.489703475,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,15,0.9,Yes,24,0.5,Compromised,0,0.82,Memory_Corruption,4,0.9
8,Memory_Corruption,0.7721143380000001,Memory_Corruption,0.6489215960000001,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,12,0.62,Yes,31,0.9,Compromised,0,0.82,Memory_Corruption,5,0.8
31,Memory_Corruption,0.7763024099999999,Memory_Corruption,0.6564342199999998,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,Yes,31,0.9,Compromised,0,0.82,Memory_Corruption,5,0.8
80,Memory_Corruption,0.687772605,Memory_Corruption,0.43891053500000005,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,4,0.6,Yes,25,0.7,Compromised,1,0.72,Memory_Corruption,4,0.9
38,Memory_Corruption,0.76305609,Memory_Corruption,0.6326727799999999,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,3,0.62,Yes,17,0.5,Compromised,0,0.82,Memory_Corruption,5,0.8
57,Memory_Corruption,0.767585214,Memory_Corruption,0.640797188,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,3,0.62,Yes,7,0.7,Compromised,0,0.82,Memory_Corruption,5,0.8
7,Memory_Corruption,0.775430865,Memory_Corruption,0.65487083,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,Yes,15,0.85,Compromised,0,0.82,Memory_Corruption,5,0.8
5,Memory_Corruption,0.5847528225,Memory_Corruption,0.23469110750000005,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.8,No,0,0.95,Normal,3,0.55,System_Fault,6,0.8
58,Memory_Corruption,0.758526966,Memory_Corruption,0.624548372,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,3,0.62,No,16,0.7,Compromised,2,0.72,Memory_Corruption,5,0.8
76,Memory_Corruption,0.687772605,Memory_Corruption,0.43891053500000005,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,4,0.6,Yes,22,0.7,Compromised,1,0.72,Memory_Corruption,4,0.9
47,Memory_Corruption,0.758407365,Memory_Corruption,0.6243338300000001,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,7,0.8,No,0,0.95,Compromised,2,0.72,Memory_Corruption,5,0.8
81,Memory_Corruption,0.76347513,Memory_Corruption,0.63342446,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,4,0.6,Yes,25,0.7,Compromised,1,0.72,Memory_Corruption,5,0.8
54,Memory_Corruption,0.666118011,Memory_Corruption,0.395983937,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,3,0.62,No,16,0.7,Compromised,2,0.72,Memory_Corruption,4,0.9
79,Memory_Corruption,0.76347513,Memory_Corruption,0.63342446,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,1,0.6,Yes,14,0.7,Compromised,1,0.72,Memory_Corruption,5,0.8
25,Memory_Corruption,0.624486981,Memory_Corruption,0.411877127,SUCCESS,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Yes,0,0.95,Yes,0,0.9,Yes,0,0.85,Yes,3,0.62,Yes,7,0.7,Compromised,0,0.82,Memory_Corruption,0,0.75
49,Memory_Corruption,0.752865561,Memory_Corruption,0.614392862,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,12,0.62,No,0,0.95,Compromised,2,0.72,Memory_Corruption,5,0.8
44,Memory_Corruption,0.6413420685000001,Memory_Corruption,0.3468697895000001,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,12,0.62,No,0,0.95,Compromised,2,0.72,Memory_Corruption,4,0.9
67,Memory_Corruption,0.76305609,Memory_Corruption,0.6326727799999999,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,5,0.62,Yes,20,0.5,Compromised,0,0.82,Memory_Corruption,5,0.8
4,Memory_Corruption,0.7614861449999999,Memory_Corruption,0.6298565899999999,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,No,0,0.95,Compromised,2,0.72,Memory_Corruption,5,0.8
1,Memory_Corruption,0.75277797,Memory_Corruption,0.61423574,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,1,0.6,No,1,0.7,Normal,3,0.55,Memory_Corruption,7,0.75
21,Memory_Corruption,0.6023927099999999,Memory_Corruption,0.3205933099999999,SUCCESS,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Yes,1,0.85,Yes,0,0.9,No,1,0.9,No,0,0.8,Yes,31,0.9,Compromised,1,0.72,Memory_Corruption,1,0.75
39,Memory_Corruption,0.7032902025000001,System_Fault,0.46967156750000005,FAILURE,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,No,1,0.9,Yes,0,0.85,No,0,0.8,No,0,0.95,Compromised,7,0.8,Memory_Corruption,4,0.9
61,Memory_Corruption,0.7581265500000001,Memory_Corruption,0.6238301,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,4,0.6,Yes,9,0.5,Compromised,1,0.72,Memory_Corruption,5,0.8
19,Memory_Corruption,0.5560315499999999,Memory_Corruption,0.23151454999999987,SUCCESS,Not_Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Yes,2,0.85,Yes,0,0.9,No,1,0.9,No,0,0.8,Yes,3,0.5,Compromised,1,0.72,Memory_Corruption,1,0.75
53,Memory_Corruption,0.686702865,Memory_Corruption,0.436789955,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,14,0.8,No,1,0.7,Compromised,2,0.72,Memory_Corruption,4,0.9
12,Memory_Corruption,0.5317009275,Memory_Corruption,0.26692564249999995,SUCCESS,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,0,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.8,No,0,0.95,Normal,3,0.55,System_Fault,2,0.45
56,Memory_Corruption,0.7632306899999999,Memory_Corruption,0.6329859799999998,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,14,0.8,No,1,0.7,Compromised,2,0.72,Memory_Corruption,5,0.8
27,Memory_Corruption,0.586901535,FDI,0.28778263499999995,FAILURE,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,0,0.95,No,1,0.9,No,1,0.9,No,0,0.8,No,0,0.95,Compromised,7,0.8,Memory_Corruption,1,0.75
84,Memory_Corruption,0.685938765,Memory_Corruption,0.43527525499999997,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,3,0.62,Yes,17,0.5,Compromised,0,0.82,Memory_Corruption,4,0.9
