Scenario #,GPTN_1,GPTN_2,GPTN_3,GPTN_5,LPTN_1_i,LPTN_1_ii,LPTN_1_iii,LPTN_1_iv,LPTN_1_v,LPTN_1_vi,LPTN_1_viii,LPTN_1_ix,LPTN_1_x,Ground Truth
19,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
20,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,System_Fault
21,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Memory_Corruption
22,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Memory_Corruption
23,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Memory_Corruption
24,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
25,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Memory_Corruption
26,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
27,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Memory_Corruption
28,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
29,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
30,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
31,Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Memory_Corruption
32,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
33,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Memory_Corruption
34,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
35,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Memory_Corruption
36,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Found,Not_Found,Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
37,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
38,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
39,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Memory_Corruption
40,Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
41,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
42,Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
43,Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Memory_Corruption
44,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
45,Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Memory_Corruption
46,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Memory_Corruption
47,Not_Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Found,Memory_Corruption
48,Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Memory_Corruption
49,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
50,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
51,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Memory_Corruption
52,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
53,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
54,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Memory_Corruption
55,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,Found,Found,Memory_Corruption
56,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,FDI
57,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,FDI
58,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,FDI
59,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
60,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
61,Found,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
62,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Memory_Corruption
63,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Memory_Corruption
64,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
65,Not_Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Found,Memory_Corruption
66,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Found,Found,Memory_Corruption
67,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
68,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Memory_Corruption
69,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
70,Found,Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
71,Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Memory_Corruption
72,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
73,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Memory_Corruption
74,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Memory_Corruption
75,Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
76,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
77,Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Memory_Corruption
