Scenario #,GPTN_1,GPTN_2,GPTN_3,GPTN_5,LPTN_1_i,LPTN_1_ii,LPTN_1_iii,LPTN_1_iv,LPTN_1_v,LPTN_1_vi,LPTN_1_viii,LPTN_1_ix,LPTN_1_x,Ground Truth
62,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Memory_Corruption
63,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Memory_Corruption
64,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
65,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
66,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,Memory_Corruption
67,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,Memory_Corruption
68,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Memory_Corruption
69,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Memory_Corruption
70,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Memory_Corruption
71,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Memory_Corruption
72,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Memory_Corruption
73,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Memory_Corruption
74,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
75,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
76,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Memory_Corruption
77,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Memory_Corruption
78,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Memory_Corruption
79,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Memory_Corruption
80,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Memory_Corruption
81,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Memory_Corruption
82,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
83,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
84,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Memory_Corruption
85,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Memory_Corruption
86,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Memory_Corruption
