Scenario #,GPTN_1,GPTN_2,GPTN_3,GPTN_5,LPTN_1_i,LPTN_1_ii,LPTN_1_iii,LPTN_1_iv,LPTN_1_v,LPTN_1_vi,LPTN_1_viii,LPTN_1_ix,LPTN_1_x,Ground Truth
9,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
6,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
8,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Memory_Corruption
57,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Memory_Corruption
35,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
5,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
4,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
14,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
29,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,FDI
52,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
19,Not_Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
30,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
47,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
34,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
84,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Memory_Corruption
81,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Memory_Corruption
85,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Memory_Corruption
61,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Memory_Corruption
49,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Memory_Corruption
2,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Memory_Corruption
68,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Memory_Corruption
59,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Memory_Corruption
46,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,Memory_Corruption
37,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Memory_Corruption
83,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
6,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Memory_Corruption
55,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Memory_Corruption
36,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Memory_Corruption
80,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Memory_Corruption
65,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Memory_Corruption
53,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Memory_Corruption
1,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Memory_Corruption
5,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Memory_Corruption
7,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Memory_Corruption
