Scenario,Prediction,Confidence,Ground Truth,Status,GPTN_1,GPTN_2,GPTN_3,GPTN_5,LPTN_1_i,LPTN_1_ii,LPTN_1_iii,LPTN_1_iv,LPTN_1_v,LPTN_1_vi,LPTN_1_viii,LPTN_1_ix,LPTN_1_x,Network_Manipulation,Network_Manipulation_col,Network_Manipulation_argmax_prob,Program_Anomaly,Program_Anomaly_col,Program_Anomaly_argmax_prob,Physical_Anomaly,Physical_Anomaly_col,Physical_Anomaly_argmax_prob,Deviation_in_Dispatch,Deviation_in_Dispatch_col,Deviation_in_Dispatch_argmax_prob,Deviation_in_Response,Deviation_in_Response_col,Deviation_in_Response_argmax_prob,Execution_Integrity,Execution_Integrity_col,Execution_Integrity_argmax_prob,Root_Causes,Root_Causes_col,Root_Causes_argmax_prob
45,Memory_Corruption,0.622380375,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.95,Yes,15,0.85,Compromised,1,0.7,Memory_Corruption,4,0.8
13,Memory_Corruption,0.52699625,Memory_Corruption,SUCCESS,Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,1,0.85,Yes,0,0.9,No,1,0.9,No,0,0.95,No,0,0.95,Normal,3,0.7,FDI,3,0.45
70,Memory_Corruption,0.64421775,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,6,0.6,Yes,19,0.7,Compromised,0,0.8,Memory_Corruption,4,0.8
29,Memory_Corruption,0.57839125,FDI,FAILURE,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,2,0.85,No,1,0.9,No,1,0.9,No,0,0.95,No,0,0.95,Compromised,7,0.6,Memory_Corruption,1,0.65
43,Memory_Corruption,0.558055625,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.95,Yes,24,0.5,Compromised,1,0.7,Memory_Corruption,4,0.8
85,Memory_Corruption,0.63203425,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,13,0.8,No,8,0.7,Compromised,2,0.7,Memory_Corruption,4,0.8
40,Memory_Corruption,0.5304878749999999,Memory_Corruption,FAILURE,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,1,0.65,No,0,0.95,Normal,3,0.7,System_Fault,6,0.7
30,Memory_Corruption,0.7523442499999999,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,0,0.95,No,0,0.95,Normal,3,0.7,Memory_Corruption,7,0.75
14,Memory_Corruption,0.52699625,Memory_Corruption,SUCCESS,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,2,0.85,Yes,0,0.9,No,1,0.9,No,0,0.95,No,0,0.95,Normal,3,0.7,FDI,3,0.45
35,Memory_Corruption,0.82814475,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,7,0.8,Yes,15,0.85,Compromised,0,0.8,Memory_Corruption,5,0.9
23,Memory_Corruption,0.59189925,Memory_Corruption,SUCCESS,Found,Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Yes,0,0.95,Yes,0,0.9,No,1,0.9,Yes,7,0.8,Yes,15,0.85,Compromised,0,0.8,Memory_Corruption,1,0.65
64,Memory_Corruption,0.60250475,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,10,0.6,No,4,0.7,Compromised,2,0.7,Memory_Corruption,4,0.8
62,Memory_Corruption,0.621760875,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,2,0.65,Yes,26,0.7,Compromised,1,0.7,Memory_Corruption,4,0.8
37,Memory_Corruption,0.64421775,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,3,0.6,Yes,7,0.7,Compromised,0,0.8,Memory_Corruption,4,0.8
82,Memory_Corruption,0.62336125,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,10,0.6,Yes,3,0.5,Compromised,0,0.8,Memory_Corruption,4,0.8
36,Memory_Corruption,0.8089675000000001,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,12,0.6,Yes,24,0.5,Compromised,0,0.8,Memory_Corruption,5,0.9
83,Memory_Corruption,0.8089675000000001,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,10,0.6,Yes,3,0.5,Compromised,0,0.8,Memory_Corruption,5,0.9
10,Memory_Corruption,0.6711659999999999,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,15,0.9,Yes,7,0.7,Compromised,0,0.8,Memory_Corruption,4,0.8
78,Memory_Corruption,0.621760875,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,1,0.65,Yes,14,0.7,Compromised,1,0.7,Memory_Corruption,4,0.8
6,Memory_Corruption,0.631569625,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.95,Yes,31,0.9,Compromised,1,0.7,Memory_Corruption,4,0.8
15,Memory_Corruption,0.596531,Memory_Corruption,SUCCESS,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Yes,0,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,Yes,31,0.9,Compromised,0,0.8,Memory_Corruption,1,0.65
66,Memory_Corruption,0.62336125,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,5,0.6,Yes,20,0.5,Compromised,0,0.8,Memory_Corruption,4,0.8
68,Memory_Corruption,0.62336125,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,9,0.6,Yes,12,0.5,Compromised,0,0.8,Memory_Corruption,4,0.8
65,Memory_Corruption,0.8009885,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,10,0.6,No,4,0.7,Compromised,2,0.7,Memory_Corruption,5,0.9
2,Memory_Corruption,0.80835525,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,1,0.65,Yes,7,0.7,Compromised,1,0.7,Memory_Corruption,5,0.9
18,Memory_Corruption,0.54813375,Memory_Corruption,SUCCESS,Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Found,Yes,1,0.85,Yes,0,0.9,No,1,0.9,No,0,0.95,No,1,0.7,Normal,3,0.7,FDI,3,0.45
28,Memory_Corruption,0.57839125,FDI,FAILURE,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,1,0.85,No,1,0.9,No,1,0.9,No,0,0.95,No,0,0.95,Compromised,7,0.6,Memory_Corruption,1,0.65
72,Memory_Corruption,0.593676875,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,2,0.65,Yes,6,0.5,Compromised,1,0.7,Memory_Corruption,4,0.8
74,Memory_Corruption,0.64421775,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,10,0.6,Yes,11,0.7,Compromised,0,0.8,Memory_Corruption,4,0.8
59,Memory_Corruption,0.8009885,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,9,0.6,No,2,0.7,Compromised,2,0.7,Memory_Corruption,5,0.9
34,Memory_Corruption,0.78398375,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,0,0.95,Yes,3,0.5,Compromised,1,0.7,Memory_Corruption,5,0.9
46,Memory_Corruption,0.77343725,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,1,0.65,No,0,0.95,Normal,3,0.7,Memory_Corruption,7,0.75
11,Memory_Corruption,0.49882774999999996,Memory_Corruption,FAILURE,Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,0,0.95,Yes,0,0.9,No,1,0.9,No,0,0.95,No,0,0.95,Normal,3,0.7,FDI,3,0.45
52,Memory_Corruption,0.6589824999999999,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,15,0.9,Yes,24,0.5,Compromised,0,0.8,Memory_Corruption,4,0.8
8,Memory_Corruption,0.8249255,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,12,0.6,Yes,31,0.9,Compromised,0,0.8,Memory_Corruption,5,0.9
31,Memory_Corruption,0.8319169999999999,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,Yes,31,0.9,Compromised,0,0.8,Memory_Corruption,5,0.9
80,Memory_Corruption,0.621760875,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,4,0.65,Yes,25,0.7,Compromised,1,0.7,Memory_Corruption,4,0.8
38,Memory_Corruption,0.8089675000000001,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,3,0.6,Yes,17,0.5,Compromised,0,0.8,Memory_Corruption,5,0.9
57,Memory_Corruption,0.8169465,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,3,0.6,Yes,7,0.7,Compromised,0,0.8,Memory_Corruption,5,0.9
7,Memory_Corruption,0.83075175,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,Yes,15,0.85,Compromised,0,0.8,Memory_Corruption,5,0.9
5,Memory_Corruption,0.47535237500000005,Memory_Corruption,FAILURE,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.95,No,0,0.95,Normal,3,0.7,System_Fault,6,0.7
58,Memory_Corruption,0.8009885,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,3,0.6,No,16,0.7,Compromised,2,0.7,Memory_Corruption,5,0.9
76,Memory_Corruption,0.621760875,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,No,4,0.65,Yes,22,0.7,Compromised,1,0.7,Memory_Corruption,4,0.8
47,Memory_Corruption,0.80507675,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,7,0.8,No,0,0.95,Compromised,2,0.7,Memory_Corruption,5,0.9
81,Memory_Corruption,0.80835525,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,4,0.65,Yes,25,0.7,Compromised,1,0.7,Memory_Corruption,5,0.9
54,Memory_Corruption,0.60250475,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,3,0.6,No,16,0.7,Compromised,2,0.7,Memory_Corruption,4,0.8
79,Memory_Corruption,0.80835525,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,1,0.65,Yes,14,0.7,Compromised,1,0.7,Memory_Corruption,5,0.9
25,Memory_Corruption,0.50889825,Memory_Corruption,FAILURE,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Found,Found,Not_Found,Not_Found,Yes,0,0.95,Yes,0,0.9,Yes,0,0.85,Yes,3,0.6,Yes,7,0.7,Compromised,0,0.8,Memory_Corruption,0,0.55
49,Memory_Corruption,0.79101475,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,12,0.6,No,0,0.95,Compromised,2,0.7,Memory_Corruption,5,0.9
44,Memory_Corruption,0.576434125,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,12,0.6,No,0,0.95,Compromised,2,0.7,Memory_Corruption,4,0.8
67,Memory_Corruption,0.8089675000000001,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,5,0.6,Yes,20,0.5,Compromised,0,0.8,Memory_Corruption,5,0.9
4,Memory_Corruption,0.81210775,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,15,0.9,No,0,0.95,Compromised,2,0.7,Memory_Corruption,5,0.9
1,Memory_Corruption,0.78686725,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,1,0.65,No,1,0.7,Normal,3,0.7,Memory_Corruption,7,0.75
21,Memory_Corruption,0.59886375,Memory_Corruption,SUCCESS,Found,Not_Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Yes,1,0.85,Yes,0,0.9,No,1,0.9,No,0,0.95,Yes,31,0.9,Compromised,1,0.7,Memory_Corruption,1,0.65
39,Memory_Corruption,0.5870688749999999,System_Fault,FAILURE,Not_Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,No,3,0.95,No,1,0.9,Yes,0,0.85,No,0,0.95,No,0,0.95,Compromised,7,0.6,Memory_Corruption,4,0.8
61,Memory_Corruption,0.79761125,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Not_Found,Found,Found,Not_Found,Found,Not_Found,Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,No,4,0.65,Yes,9,0.5,Compromised,1,0.7,Memory_Corruption,5,0.9
19,Memory_Corruption,0.56504375,Memory_Corruption,SUCCESS,Not_Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Yes,2,0.85,Yes,0,0.9,No,1,0.9,No,0,0.95,Yes,3,0.5,Compromised,1,0.7,Memory_Corruption,1,0.65
53,Memory_Corruption,0.63203425,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,14,0.8,No,1,0.7,Compromised,2,0.7,Memory_Corruption,4,0.8
12,Memory_Corruption,0.43570962500000004,Memory_Corruption,FAILURE,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,0,0.95,Yes,0,0.9,Yes,0,0.85,No,0,0.95,No,0,0.95,Normal,3,0.7,System_Fault,2,0.45
56,Memory_Corruption,0.8122855,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Not_Found,Found,Found,Found,Found,Not_Found,Not_Found,Not_Found,Not_Found,Found,No,3,0.95,Yes,0,0.9,No,1,0.9,Yes,14,0.8,No,1,0.7,Compromised,2,0.7,Memory_Corruption,5,0.9
27,Memory_Corruption,0.55130475,FDI,FAILURE,Found,Found,Not_Found,Not_Found,Found,Found,Found,Found,Found,Found,Found,Found,Found,Yes,0,0.95,No,1,0.9,No,1,0.9,No,0,0.95,No,0,0.95,Compromised,7,0.6,Memory_Corruption,1,0.65
84,Memory_Corruption,0.62336125,Memory_Corruption,SUCCESS,Not_Found,Not_Found,Found,Found,Not_Found,Found,Found,Found,Not_Found,Found,Found,Not_Found,Not_Found,No,3,0.95,Yes,0,0.9,Yes,0,0.85,Yes,3,0.6,Yes,17,0.5,Compromised,0,0.8,Memory_Corruption,4,0.8
